year,city,country,contestant,song,event,points,place
1976,The Hague,Greece,Mariza Koch,"Panaghia Mou, Panaghia Mou",Final,20,13
1976,The Hague,Portugal,Carlos do Carmo,Uma Flor De Verde Pinho,Final,24,12
1976,The Hague,Finland,Fredi and The Friends,Pump-pump,Final,44,11
1976,The Hague,Ireland,Red Hurley,When,Final,54,10
1976,The Hague,The Netherlands,Sandra Reemer,The Party's Over Now,Final,56,9
1976,The Hague,Belgium,Pierre Rapsat,Judy Et Cie.,Final,68,8
1976,The Hague,Italy,Romina and Al Bano,We'll Live It All Again,Final,69,7
1976,The Hague,Israel,"Chocolate, Menta, Mastik",Emor Shalom,Final,77,6
1976,The Hague,Austria,Waterloo and Robinson,My Little World,Final,80,5
1976,The Hague,Switzerland,"Peter, Sue and Marc","Djambo, Djambo",Final,91,4
1976,The Hague,Monaco,Mary Christy,"Toi, La Musique Et Moi",Final,93,3
1976,The Hague,France,Catherine Ferry,"Un, Deux, Trois",Final,147,2
1976,The Hague,United Kingdom,Brotherhood of Man,Save Your Kisses For Me,Final,164,1
1977,London,Sweden,Forbes,Beatles,Final,2,18
1977,London,Austria,Schmetterlinge,Boom Boom Boomerang,Final,11,17
1977,London,Luxembourg,Anne Marie B.,Frère Jacques,Final,17,16
1977,London,Norway,Anita Skorgan,Casanova,Final,18,14
1977,London,Portugal,Os Amigos,Portugal No Coração,Final,18,14
1977,London,Italy,Mia Martini,Liberà,Final,33,13
1977,London,The Netherlands,Heddy Lester,De Mallemolen,Final,35,12
1977,London,Israel,Ilanit,Ah-haa-vah Hee Shir Lish-naa-yim,Final,49,11
1977,London,Finland,Monica Aspelund,Lapponia,Final,50,10
1977,London,Spain,Micky,Enseñame A Cantar,Final,52,9
1977,London,Germany,Silver Convention,Telegram,Final,55,8
1977,London,Belgium,Dream Express,"A Million In One, Two, Three",Final,69,7
1977,London,Switzerland,Pepe Lienhard Band,Swiss Lady,Final,71,6
1977,London,Greece,"Pascalis, Marianna, Robert and Bessy",Mathema Solfege,Final,92,5
1977,London,Monaco,Michèle Torr,Une Petite Française,Final,96,4
1977,London,Ireland,The Swarbriggs Plus Two,It's Nice To Be In Love Again,Final,119,3
1977,London,United Kingdom,Lynsey de Paul and Mike Moran,Rock Bottom,Final,121,2
1977,London,France,Marie Myriam,L'oiseau Et L'enfant,Final,136,1
1978,Paris,Norway,Jahn Teigen,Mil Etter Mil,Final,0,20
1978,Paris,Finland,Seija Simola,Anna Rakkaudelle Tilaisuus,Final,2,18
